DrawNo,DrawDate,DrawnNo1,DrawnNo2, DrawnNo3, DrawnNo4, DrawnNo5, DrawnNo6,BonusNo,Jackpot1, Jackpot2
521620,20201226,06,07,19,31,32,45,21,0230876874,0011420167
521720,20201227,04,09,25,30,43,44,24,0234737192,0012385247
521820,20201230,08,11,17,18,33,40,43,0238667272,0013367767
521921,20210102,01,19,33,41,43,49,34,0242666740,0014367634
522021,20210103,07,09,17,21,27,40,02,0246611142,0015353735
522121,20210106,03,11,18,31,35,45,25,0250542366,0016336541
522221,20210109,19,23,33,40,43,48,32,0254495634,0017324858
522321,20210110,01,04,18,31,46,49,36,0258435328,0018309782
522421,20210113,10,25,29,35,45,46,47,0260550078,0018838470
522521,20210116,08,31,32,35,37,49,04,0262115752,0019229889
522621,20210117,02,07,11,34,39,45,27,0263628340,0019608036
522721,20210120,02,06,24,35,40,44,28,0264862232,0019916509
522821,20210123,08,23,28,43,45,47,12,0265676672,0020120119
522921,20210124,03,05,13,19,24,26,01,0266449070,0020313219
523021,20210126,01,17,21,35,40,44,05,0266972120,0020443982
523121,20210127,09,22,27,34,39,40,33,0267533802,0020584403
523221,20210130,05,06,11,18,24,43,48,0268350706,0020788629
523321,20210131,03,09,15,17,31,47,23,0268916040,0020929963
523421,20210202,06,11,16,25,29,46,49,0269390888,0021048675
523521,20210203,12,15,20,21,36,50,39,0269913080,0021179223
523621,20210206,05,21,22,23,41,42,24,0270481098,0021321228
523721,20210207,02,16,20,36,40,50,10,0271086450,0021472566
523821,20210209,10,16,17,25,35,49,09,0271593220,0021599259
523921,20210210,20,29,34,44,47,49,43,0272242154,0021761493
524021,20210213,09,16,30,41,42,44,10,0273066736,0021967639
524121,20210214,01,07,10,16,17,47,45,0273972850,0022194168
524221,20210216,02,15,21,42,43,50,06,0276312418,0022779060
524321,20210217,18,25,32,34,40,46,04,0279341004,0023536207
524421,20210220,03,13,21,26,29,30,12,0282895038,0024424716
524521,20210221,04,09,16,29,30,50,43,0286497670,0025325374
524621,20210224,07,09,13,22,24,46,14,0289910486,0025027423
524721,20210227,07,09,14,16,29,36,42,0293575180,0025943597
524821,20210228,07,15,20,21,27,28,36,0297274744,0026868488
524921,20210302,04,10,11,13,34,49,12,0300003184,0027550598
525021,20210303,03,05,06,20,28,40,19,0303299576,0028374696
525121,20210306,22,26,33,40,43,49,31,0307030512,0010000000
525221,20210307,08,19,23,31,41,42,44,0310787254,0010000000
525321,20210310,05,25,29,31,44,45,09,0314481472,0010000000
525421,20210313,23,27,34,41,43,45,50,0318277110,0010000000
525521,20210314,09,18,36,39,43,45,48,0322099324,0010000000
525621,20210317,03,22,29,34,36,43,14,0325716498,0010000000
525721,20210320,04,14,24,28,32,43,17,0329523202,0010000000
525821,20210321,16,17,21,23,33,40,24,0333267646,0010000000
525921,20210324,03,16,19,21,36,50,18,0337038028,0010000000
526021,20210327,08,19,30,33,35,38,07,0341005552,0010000000
526121,20210328,09,12,15,35,44,45,02,0345035380,0010000000
526221,20210330,13,17,21,36,37,49,09,0348018250,0010000000
